Station.ID,Capacity,Station.Name,Location
299,19,"Vincent Square, Westminster","(51.493985,-0.136928)"
301,24,"Marylebone Lane, Marylebone","(51.514759,-0.148105)"
302,28,"Putney Pier, Wandsworth","(51.466907,-0.216573)"
303,28,"Albert Gate, Hyde Park","(51.502953,-0.158456)"
305,15,"Kennington Lane Tesco, Vauxhall","(51.486779,-0.115853)"
306,16,"Rathbone Street, Fitzrovia","(51.518162,-0.135025)"
307,24,"Black Lion Gate, Kensington Gardens","(51.509908,-0.187842)"
308,20,"Long Lane , Bermondsey","(51.499075,-0.085666)"
309,41,"Embankment (Savoy), Strand","(51.509631,-0.119047)"
310,19,"Black Prince Road, Vauxhall","(51.490867,-0.116911)"
312,20,"Grove End Road, St. John's Wood","(51.530889,-0.17677)"
313,38,"Wells Street, Fitzrovia","(51.517344,-0.138072)"
314,36,"Tyers Gate, Bermondsey","(51.500889,-0.083159)"
315,16,"The Tennis Courts, The Regent's Park","(51.525367,-0.153463)"
317,32,"Dickens Square, Borough","(51.496791,-0.093913)"
318,18,"Sackville Street, Mayfair","(51.510048,-0.138846)"
319,21,"Baldwin Street, St. Luke's","(51.527025,-0.088542)"
320,26,"Queen Mother Sports Centre, Victoria","(51.493573,-0.139956)"
321,24,"Bermondsey Street, Bermondsey","(51.497855,-0.081608)"
322,26,"Palissy Street, Shoreditch","(51.526293,-0.073955)"
323,24,"Clifton Street, Shoreditch","(51.523196,-0.083067)"
324,15,"Ontario Street, Elephant & Castle","(51.49652,-0.101384)"
325,18,"St. Martin's Street, West End","(51.509087,-0.129697)"
326,25,"Graham Street, Angel","(51.532661,-0.099981)"
327,22,"New North Road 1, Hoxton","(51.53095,-0.085603)"
328,22,"New North Road 2, Hoxton","(51.53114,-0.086016)"
329,24,"Prince Albert Road, The Regent's Park","(51.535892,-0.160854)"
330,34,"Eastbourne Mews, Paddington","(51.516417,-0.179135)"
331,30,"Bunhill Row, Moorgate","(51.520858,-0.089887)"
332,20,"Nevern Place, Earl's Court","(51.493343,-0.194757)"
333,37,"Palace Gardens Terrace, Notting Hill","(51.508605,-0.193764)"
334,10,"Concert Hall Approach 1, South Bank","(51.505044,-0.115851)"
335,33,"Tavistock Street, Covent Garden","(51.511968,-0.120718)"
336,18,"Concert Hall Approach 2, South Bank","(51.504942,-0.115533)"
337,16,"Pembridge Villas, Notting Hill","(51.511084,-0.197524)"
338,23,"Wellington Street , Strand","(51.511756,-0.119643)"
339,25,"Risinghill Street, Angel","(51.533319,-0.111781)"
340,16,"Bank of England Museum, Bank","(51.514441,-0.087587)"
341,23,"Craven Street, Strand","(51.508103,-0.126021)"
343,36,"London Zoo Car Park, The Regent's Park","(51.536922,-0.150181)"
344,17,"Goswell Road (City Uni), Finsbury","(51.528246,-0.101026)"
345,33,"Flood Street, Chelsea","(51.488023,-0.166878)"
347,17,"Lower Marsh, Waterloo","(51.500139,-0.113936)"
348,17,"Grosvenor Square, Mayfair","(51.51217,-0.150481)"
349,18,"St. George Street, Mayfair","(51.51196,-0.142783)"
350,21,"Queen's Gate, Kensington Gardens","(51.501715,-0.179854)"
351,28,"Macclesfield Rd, St Lukes","(51.529423,-0.097122)"
352,19,"Vauxhall Street, Vauxhall","(51.486965,-0.116625)"
353,17,"Greycoat Street , Westminster","(51.494591,-0.134234)"
